PGC	GEN	BEZ
Ahrweiler (Lkr)	Ahrweiler	Landkreis
Aichach-Friedberg (Lkr)	Aichach-Friedberg	Landkreis
Alb-Donau-Kreis	Alb-Donau-Kreis	Landkreis
Altenburger Land	Altenburger Land	Landkreis
Altenkirchen (Lkr)	Altenkirchen (Westerwald)	Landkreis
Altmarkkreis Salzwedel	Altmarkkreis Salzwedel	Landkreis
Altötting (Lkr)	Altötting	Landkreis
Alzey-Worms (Lkr)	Alzey-Worms	Landkreis
Amberg	Amberg	Kreisfreie Stadt
Amberg-Sulzbach (Lkr)	Amberg-Sulzbach	Landkreis
Ammerland (Lkr)	Ammerland	Landkreis
Anhalt-Bitterfeld	Anhalt-Bitterfeld	Landkreis
Ansbach	Ansbach	Kreisfreie Stadt
Ansbach (Lkr)	Ansbach	Landkreis
Aschaffenburg	Aschaffenburg	Kreisfreie Stadt
Aschaffenburg (Lkr)	Aschaffenburg	Landkreis
Augsburg	Augsburg	Kreisfreie Stadt
Augsburg (Lkr)	Augsburg	Landkreis
Aurich (Lkr)	Aurich	Landkreis
Bad Dürkheim (Lkr)	Bad Dürkheim	Landkreis
Baden-Baden	Baden-Baden	Stadtkreis
Bad Kissingen (Lkr)	Bad Kissingen	Landkreis
Bad Kreuznach (Lkr)	Bad Kreuznach	Landkreis
Bad Tölz-Wolfratshausen (Lkr)	Bad Tölz-Wolfratshausen	Landkreis
Bamberg	Bamberg	Kreisfreie Stadt
Bamberg (Lkr)	Bamberg	Landkreis
Barnim	Barnim	Landkreis
Bautzen	Bautzen	Landkreis
Bayreuth	Bayreuth	Kreisfreie Stadt
Bayreuth (Lkr)	Bayreuth	Landkreis
Berchtesgadener Land (Lkr)	Berchtesgadener Land	Landkreis
Bergstraße (Kr)	Bergstraße	Landkreis
Berlin	Berlin	Kreisfreie Stadt
Bernkastel-Wittlich (Lkr)	Bernkastel-Wittlich	Landkreis
Biberach (Lkr)	Biberach	Landkreis
Bielefeld	Bielefeld	Kreisfreie Stadt
Birkenfeld (Lkr)	Birkenfeld	Landkreis
Böblingen (Lkr)	Böblingen	Landkreis
Bochum	Bochum	Kreisfreie Stadt
Bodenseekreis	Bodenseekreis	Landkreis
Bonn	Bonn	Kreisfreie Stadt
Börde	Börde	Landkreis
Borken (Kr)	Borken	Kreis
Bottrop	Bottrop	Kreisfreie Stadt
Brandenburg an der Havel	Brandenburg an der Havel	Kreisfreie Stadt
Braunschweig	Braunschweig	Kreisfreie Stadt
